,0,1,2,3,4,Dominant_Topic_NMF
2014-PRe-PSY.txt,0.69122552748183,0.0,0.291662968985861,0.0171115035323089,0.0,0
2016-PDe-PSY.txt,0.4194241653088664,0.08508682242168818,0.0,0.17170362931164249,0.323785382957803,0
2016-PRe-PSY.txt,0.6061280173535765,0.0,0.0,0.10228353818018804,0.29158844446623544,0
2016-PDb-PSY.txt,1.0,0.0,0.0,0.0,0.0,0
2018-PRd-PSY.txt,0.9776327313287441,0.022367268671255915,0.0,0.0,0.0,0
2020-PDb-PSY.txt,0.578486397262669,0.0,0.31247997485281065,0.022925798790499243,0.08610782909402094,0
2020-PDa-PSY.txt,0.8100146304949989,0.16040855137055704,0.011233505142524284,0.018169652418846844,0.00017366057307303658,0
2015-PRd-PSY.txt,0.8378014306491719,0.0,0.05996772069096876,0.10223084865985926,0.0,0
2017-PDb-PSY.txt,0.8939957472767204,0.0401114957415227,0.0,0.0,0.06589275698175687,0
2019-WMa-PSY.txt,0.963151338899687,0.036848661100312985,0.0,0.0,0.0,0
2021-PRc-PSY.txt,0.9030018306807494,0.0,0.08359205732675086,0.0134061119924997,0.0,0
2015-PDa-PSY.txt,1.0,0.0,0.0,0.0,0.0,0
2019-PRc-PSY.txt,0.9957100744918833,0.0,0.004289925508116655,0.0,0.0,0
2020-PRb-PSY.txt,0.8326708787507254,0.0,0.11249968632417248,0.05482943492510216,0.0,0
2021-WMb-PSY.txt,0.9461874484740421,0.0,0.0,0.0538125515259579,0.0,0
2022-PDe-PSY.txt,0.5504756858860009,0.4495243141139991,0.0,0.0,0.0,0
2014-PDd-PSY.txt,0.571211405256524,0.0,0.025885840143190075,0.0039037857689847915,0.39899896883130115,0
2022-PRd-PSY.txt,0.6761614493628685,0.10845606468666123,0.058570525200704535,0.021311128319868023,0.13550083242989777,0
2017-WMa-PSY.txt,1.0,0.0,0.0,0.0,0.0,0
2017-WMb-PSY.txt,0.9760911437117941,0.0,0.015475864495913616,0.0,0.00843299179229232,0
2018-WMa-PSY.txt,0.42603967827826417,0.0,0.1876639499579574,0.22470761812228202,0.1615887536414964,0
2013-PDd-PSY.txt,0.34881770511330445,0.0,0.2918419712004378,0.2683854423124617,0.09095488137379601,0
2023-PRe-PSY.txt,1.0,0.0,0.0,0.0,0.0,0
2020-WMa-PSY.txt,0.9661496056024396,0.006696230117160327,0.002377308610565604,0.0,0.024776855669834546,0
2017-PRa-PSY.txt,0.025029659912601802,0.9347037248365883,0.0,0.0,0.040266615250809906,1
2019-PDe-PSY.txt,0.0,0.5249918067375444,0.3233845532593215,0.151623640003134,0.0,1
2018-PDa-PSY.txt,0.019522955719759365,0.9790809695724318,0.0,0.0013960747078087849,0.0,1
2019-PDa-PSY.txt,0.0243225470353577,0.9721799377358774,0.0,0.0034975152287648457,0.0,1
2016-PDa-PSY.txt,0.12965428248567953,0.7901789426242508,0.0,0.0,0.08016677489006972,1
2016-PDd-PSY.txt,0.0,0.9980374757537431,0.0,0.0,0.0019625242462568125,1
2023-PRc-PSY.txt,0.42172336007292205,0.43417463947073887,0.0,0.0,0.14410200045633906,1
2013-PRc-PSY.txt,0.0,0.9882359864910343,0.011764013508965672,0.0,0.0,1
2013-PRd-PSY.txt,0.0031252922605598085,0.8894560342307007,0.1074186735087394,0.0,0.0,1
2020-PRc-PSY.txt,0.0,0.999326158531813,0.0,0.0006738414681870224,0.0,1
2022-PRc-PSY.txt,0.0,1.0,0.0,0.0,0.0,1
2014-PDb-PSY.txt,0.19457334232577103,0.615563089407722,0.0,0.0,0.18986356826650713,1
2015-WMa-PSY.txt,0.0,1.0,0.0,0.0,0.0,1
2014-WMa-PSY.txt,0.36877291997024714,0.6312270800297528,0.0,0.0,0.0,1
2021-PRa-PSY.txt,0.0,0.0,0.894337641960447,0.037912016182307814,0.06775034185724534,2
2021-PDe-PSY.txt,0.0,0.0,0.7494900312466171,0.06891637330118507,0.18159359545219786,2
2019-PDb-PSY.txt,0.0,0.0,1.0,0.0,0.0,2
2023-WMa-PSY.txt,0.0,0.011060331595650168,0.8322025822388361,0.05925121930349639,0.09748586686201735,2
2023-PDb-PSY.txt,0.0,0.0016147498661435303,0.9983852501338565,0.0,0.0,2
2021-PDa-PSY.txt,0.024661924463325217,0.024137009862440665,0.9512010656742341,0.0,0.0,2
2020-PDc-PSY.txt,0.0,0.0,1.0,0.0,0.0,2
2018-PRc-PSY.txt,0.20011715039497505,0.0,0.7522360980267745,0.04764675157825049,0.0,2
2023-WMc-PSY.txt,0.0,0.0,1.0,0.0,0.0,2
2014-PDa-PSY.txt,0.0,0.0,0.9180783882194393,0.0278764792238214,0.05404513255673926,2
2017-PRc-PSY.txt,0.0,0.0,1.0,0.0,0.0,2
2017-PDe-PSY.txt,0.0,0.04934997101610253,0.9239610582217136,0.012582183531742373,0.014106787230441389,2
2015-PDb-PSY.txt,0.057224278595397096,0.0,0.942775721404603,0.0,0.0,2
2015-PRa-PSY.txt,0.0,0.0,1.0,0.0,0.0,2
2016-WMa-PSY.txt,0.45907028547206,0.0,0.5409297145279399,0.0,0.0,2
2016-WMb-PSY.txt,0.0,0.025631340465937652,0.8811370818724211,0.0932315776616412,0.0,2
2021-PDc-PSY.txt,0.0,0.0,0.2440846580062159,0.4305814746101283,0.32533386738365594,3
2023-PRa-PSY.txt,0.022453411167498105,0.03224821665381082,0.03622623312284004,0.909072139055851,0.0,3
2013-WMa-PSY.txt,0.0,0.0,0.0,1.0,0.0,3
