,0,1,2,3,Dominant_Topic_NMF
2014-PRc-SOZ.txt,0.0,0.0,0.17641319619081697,0.823586803809183,3
2022-PRa-SOZ.txt,0.0,0.0,0.0,1.0,3
2019-PDc-SOZ.txt,0.0,0.07269481264160743,0.04342506295645828,0.8838801244019342,3
2022-PDc-SOZ.txt,0.05531313114160404,0.0,0.3867510349240833,0.5579358339343126,3
2022-PDa-SOZ.txt,0.340380252912889,0.0,0.008110923919363603,0.6515088231677473,3
2017-PRa-SOZ.txt,0.14386758685699153,0.0,0.35342968042810496,0.5027027327149035,3
2017-PRc-SOZ.txt,0.0,0.0,0.0,1.0,3
2021-PDe-SOZ.txt,0.19611898851047357,0.0,0.0,0.8038810114895264,3
2021-PDc-SOZ.txt,0.0,0.3038571628481005,0.0,0.6961428371518995,3
2021-PDb-SOZ.txt,0.0,0.0,0.11033919520061913,0.8896608047993809,3
2018-PRa-SOZ.txt,0.0,0.10557488872309342,0.0,0.8944251112769066,3
2019-PRc-SOZ.txt,0.0,0.0,0.46367576505972125,0.5363242349402787,3
2019-PDa-SOZ.txt,0.0,0.0,0.017597705506448593,0.9824022944935514,3
2019-PDb-SOZ.txt,0.0,0.02002308862434603,0.0,0.979976911375654,3
2022-PDd-SOZ.txt,0.0,0.0,0.0,1.0,3
2021-PRb-SOZ.txt,0.47031443485941626,0.04827533726854744,0.0,0.4814102278720363,3
