News,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
2017-Tim,0.8741718135891964,0.0,0.12582818641080354,0.0,0.0
2017-Ind,0.0,0.0,0.0,1.0,0.0
2017-CDa,0.0,0.0,0.0,0.0,1.0
2017-Ind,0.9443913830340503,0.0,0.0,0.05560861696594962,0.0
2018-Maj,0.762287427375555,0.05823312284306214,0.024054985123919157,0.15443538511740568,0.000989079540058069
2018-Maj,0.9906129766746704,0.0,0.009387023325329456,0.0,0.0
2018-Maj,0.6278734790418946,0.004257352124509418,0.18371497699387604,0.12561835641806696,0.058535835421653075
2018-ajA,0.8051865469762669,0.0,0.0944668089250697,0.0,0.10034664409866352
2018-Maj,0.8943126169662886,0.09132331801834973,0.0053683996471806175,0.0,0.008995665368181218
2018-ail,0.3700570908442475,0.08134826531681386,0.2651987519190492,0.14145579059476646,0.14194010132512286
2018-Maj,0.785358033348883,0.0,0.08537769062577907,0.0987326762199662,0.030531599805371817
2018-Maj,1.0,0.0,0.0,0.0,0.0
2019-ajA,1.0,0.0,0.0,0.0,0.0
2019-Maj,0.0,0.0,0.0,1.0,0.0
2019-ajA,0.543227892428469,0.16884376452425864,0.02994868815612985,0.16637266849055452,0.09160698640058806
2019-Maj,0.6310253039203255,0.014342314937011384,0.1285989538571551,0.17213282917966424,0.05390059810584392
2019-Maj,0.4198808026618197,0.08202524887705116,0.1614661079963458,0.0996403114393378,0.2369875290254457
2019-Tor,0.5838631453142531,0.03570550500745435,0.040393546459775664,0.10674980739093394,0.2332879958275831
2019-CDa,0.9913063075291496,0.008693692470850464,0.0,0.0,0.0
2020-Maj,0.3023065120096851,0.21370632331408876,0.10655402149039682,0.249368742017798,0.12806440116803136
2020-Maj,1.0,0.0,0.0,0.0,0.0
2020-Maj,0.4123877095256173,0.008401027097939395,0.043430223741494405,0.2643009053916114,0.27148013424333745
2020-Maj,1.0,0.0,0.0,0.0,0.0
2020-ajA,0.2774525822691715,0.15118046353868106,0.07092604748794422,0.16549252424417668,0.3349483824600265
2020-ajA,0.5188051172739666,0.153521496440337,0.05488100877611106,0.13227396787413084,0.14051840963545442
2020-Bus,0.9415597162092296,0.006096488830799877,0.05234379495997045,0.0,0.0
2020-Maj,0.0,0.0,1.0,0.0,0.0
2020-ajA,0.6139981152290693,0.0,0.13674532048188168,0.0480630335217421,0.2011935307673069
2020-Maj,0.454757620510433,0.22804169039191585,0.052046131437958935,0.10371201256369234,0.1614425450959999
2020-Maj,1.0,0.0,0.0,0.0,0.0
2020-Maj,0.9659987611128702,0.0,0.0340012388871298,0.0,0.0
2020-Maj,0.9673783352960788,0.0,0.03262166470392122,0.0,0.0
2020-ajA,1.0,0.0,0.0,0.0,0.0
2020-Maj,0.9561677366763291,0.0,0.0,0.0,0.0438322633236708
2020-Maj,0.0,0.0,0.0,0.0,1.0
2021-Ind,1.0,0.0,0.0,0.0,0.0
2021-Ind,0.6946825994538436,0.04981433075371651,0.09397378412506682,0.05125789832906481,0.11027138733830834
