Source,Target,Weight
2016-ajA,Topic_1,0.3945699922355552
2016-ajA,Topic_3,0.14298717545872192
2016-ajA,Topic_4,0.17640537202134696
2016-Maj,Topic_0,0.3981045809887095
2016-Maj,Topic_2,0.40646132461653056
2016-Tim,Topic_0,0.9241018040150836
2016-ajA,Topic_0,0.8630301494459149
2016-NYT,Topic_0,0.4377120668318998
2016-NYT,Topic_1,0.17827524568976366
2016-NYT,Topic_4,0.19802676991614104
2016-ail,Topic_0,0.9885073455216824
2016-ajA,Topic_0,0.4804504627800655
2016-ajA,Topic_2,0.10213482432044477
2016-ajA,Topic_3,0.2426682389673354
2016-Tim,Topic_0,0.9223320688883648
2016-Maj,Topic_0,0.2719736874868897
2016-Maj,Topic_1,0.15455666275907526
2016-Maj,Topic_2,0.1340243866046119
2016-Maj,Topic_3,0.10094194543515712
2016-Maj,Topic_4,0.33850331771426595
2016-ajA,Topic_0,0.3744570392533345
2016-ajA,Topic_2,0.23275347593225565
2016-ajA,Topic_3,0.1816429318144068
2016-ajA,Topic_4,0.20305161780037248
2017-Tim,Topic_0,0.8741718135891964
2017-Tim,Topic_2,0.12582818641080354
2017-Ind,Topic_3,1.0
2017-CDa,Topic_4,1.0
2017-Ind,Topic_0,0.9443913830340503
2018-Maj,Topic_0,0.762287427375555
2018-Maj,Topic_3,0.15443538511740568
2018-Maj,Topic_0,0.9906129766746704
2018-Maj,Topic_0,0.6278734790418946
2018-Maj,Topic_2,0.18371497699387604
2018-Maj,Topic_3,0.12561835641806696
2018-ajA,Topic_0,0.8051865469762669
2018-ajA,Topic_4,0.10034664409866352
2018-Maj,Topic_0,0.8943126169662886
2018-ail,Topic_0,0.3700570908442475
2018-ail,Topic_2,0.2651987519190492
2018-ail,Topic_3,0.14145579059476646
2018-ail,Topic_4,0.14194010132512286
2018-Maj,Topic_0,0.785358033348883
2018-Maj,Topic_0,1.0
2019-ajA,Topic_0,1.0
2019-Maj,Topic_3,1.0
2019-ajA,Topic_0,0.543227892428469
2019-ajA,Topic_1,0.16884376452425864
2019-ajA,Topic_3,0.16637266849055452
2019-Maj,Topic_0,0.6310253039203255
2019-Maj,Topic_2,0.1285989538571551
2019-Maj,Topic_3,0.17213282917966424
2019-Maj,Topic_0,0.4198808026618197
2019-Maj,Topic_2,0.1614661079963458
2019-Maj,Topic_4,0.2369875290254457
2019-Tor,Topic_0,0.5838631453142531
2019-Tor,Topic_3,0.10674980739093394
2019-Tor,Topic_4,0.2332879958275831
2019-CDa,Topic_0,0.9913063075291496
2020-Maj,Topic_0,0.3023065120096851
2020-Maj,Topic_1,0.21370632331408876
2020-Maj,Topic_2,0.10655402149039682
2020-Maj,Topic_3,0.249368742017798
2020-Maj,Topic_4,0.12806440116803136
2020-Maj,Topic_0,1.0
2020-Maj,Topic_0,0.4123877095256173
2020-Maj,Topic_3,0.2643009053916114
2020-Maj,Topic_4,0.27148013424333745
2020-Maj,Topic_0,1.0
2020-ajA,Topic_0,0.2774525822691715
2020-ajA,Topic_1,0.15118046353868106
2020-ajA,Topic_3,0.16549252424417668
2020-ajA,Topic_4,0.3349483824600265
2020-ajA,Topic_0,0.5188051172739666
2020-ajA,Topic_1,0.153521496440337
2020-ajA,Topic_3,0.13227396787413084
2020-ajA,Topic_4,0.14051840963545442
2020-Bus,Topic_0,0.9415597162092296
2020-Maj,Topic_2,1.0
2020-ajA,Topic_0,0.6139981152290693
2020-ajA,Topic_2,0.13674532048188168
2020-ajA,Topic_4,0.2011935307673069
2020-Maj,Topic_0,0.454757620510433
2020-Maj,Topic_1,0.22804169039191585
2020-Maj,Topic_3,0.10371201256369234
2020-Maj,Topic_4,0.1614425450959999
2020-Maj,Topic_0,1.0
2020-Maj,Topic_0,0.9659987611128702
2020-Maj,Topic_0,0.9673783352960788
2020-ajA,Topic_0,1.0
2020-Maj,Topic_0,0.9561677366763291
2020-Maj,Topic_4,1.0
2021-Ind,Topic_0,1.0
2021-Ind,Topic_0,0.6946825994538436
2021-Ind,Topic_4,0.11027138733830834
